Sample,Site
MCAV38,Butler Bay
MCAV39,Butler Bay
MCAV40,Butler Bay
MCAV41,Butler Bay
MCAV42,Butler Bay
MCAV43,Butler Bay
MCAV44,Butler Bay
MCAV45,Butler Bay
MCAV46,Butler Bay
MCAV47,Butler Bay
MCAV48,Butler Bay
MCAV49,Butler Bay
MCAV50,Butler Bay
MCAV51,Butler Bay
MCAV52,Butler Bay
MCAV53,Fredericksted Pier
MCAV54,Fredericksted Pier
OFAV1,Cane Bay
OFAV2,Cane Bay
OFAV3,Cane Bay
OFAV4,Cane Bay
OFAV5,Cane Bay
OFAV6,Cane Bay
OFAV7,Deep end
OFAV8,Deep end
OFAV9,Deep end
OFAV10,Deep end
OFAV11,Isaac Bay
OFAV12,Isaac Bay
OFAV13,Isaac Bay
OFAV14,Isaac Bay
OFAV15,Isaac Bay
OFAV16,Isaac Bay
OFAV17,Deep end
OFAV18,Deep end
OFAV19,Deep end
OFAV20,Deep end
OFAV21,Deep end
OFAV22,Deep end
OFAV23,Deep end
OFAV24,Carambola shallow
OFAV25,Carambola shallow
OFAV26,Carambola shallow
OFAV27,Carambola shallow
OFAV28,Carambola shallow
OFAV29,Carambola shallow
OFAV30,Carambola shallow
OFAV31,Carambola shallow
OFAV32,Carambola shallow
OFAV33,Carambola shallow
OFAV34,Carambola shallow
OFAV35,Carambola shallow
OFAV36,Carambola shallow
OFAV37,Carambola shallow
OFAV38,Carambola deep
OFAV39,Carambola deep
OFAV40,Carambola deep
OFAV41,Carambola deep
OFAV42,Carambola deep
OFAV43,Carambola deep
OFAV44,Carambola deep
OFAV45,Carambola deep
OFAV46,Carambola deep
OFAV47,Carambola deep
OFAV48,Carambola deep
OFAV49,Carambola deep
OFAV50,Carambola deep
OFAV51,Carambola deep
OFAV52,The Palms
OFAV53,The Palms
OFAV54,The Palms
OFAV55,The Palms
OFAV56,The Palms
OFAV57,The Palms
OFAV58,The Palms
OFAV59,The Palms
OFAV60,Cane Bay deep
OFAV61,Cane Bay deep
OFAV62,Cane Bay deep
OFAV63,Cane Bay deep
OFAV64,Cane Bay deep
OFAV65,Cane Bay deep
OFAV66,Cane Bay
OFAV67,Cane Bay
OFAV68,Cane Bay
OFAV69,Cane Bay
OFAV70,Cane Bay
OFAV71,Cane Bay
OFAV72,Butler Bay
OFAV73,Butler Bay
OFAV74,Butler Bay
OFAV75,Butler Bay
OFAV76,Butler Bay
OFAV77,WAPA
OFAV78,WAPA
OFAV79,WAPA
OFAV80,WAPA
OFAV81,WAPA
OFAV82,WAPA
OFAV83,Butler Bay
OFAV84,Butler Bay
OFAV85,Butler Bay
OFAV86,Butler Bay
OFAV87,Butler Bay
OFAV88,Butler Bay
OFAV89,Butler Bay
OFAV90,Butler Bay
OFAV91,Butler Bay
OFAV92,Butler Bay
OFAV93,Fredericksted Pier
OFAV94,Fredericksted Pier
OFAV95,Fredericksted Pier
OFAV96,Fredericksted Pier
OFAV97,Fredericksted Pier
OFAV98,Fredericksted Pier
AAGA1,Butler Bay
AAGA2,Butler Bay
AAGA3,Butler Bay
AAGA4,Butler Bay
AAGA5,Butler Bay
AAGA6,Butler Bay
AAGA7,Deep end
AAGA8,Deep end
AAGA9,Deep end
AAGA10,Isaac Bay
AAGA11,Isaac Bay
AAGA12,Isaac Bay
AAGA13,Isaac Bay
AAGA14,Isaac Bay
AAGA15,Columbus landing
AAGA16,Columbus landing
AAGA17,Columbus landing
AAGA18,Columbus landing
AAGA19,Deep end
AAGA20,Deep end
AAGA21,Deep end
AAGA22,Deep end
AAGA23,Deep end
AAGA24,Deep end
AAGA25,Carambola shallow
AAGA26,The Palms
AAGA27,The Palms
AAGA28,The Palms
AAGA29,The Palms
AAGA30,Butler Bay
AAGA31,Butler Bay
AAGA32,Butler Bay
AAGA33,Butler Bay
AAGA34,Butler Bay
AAGA35,Butler Bay
AAGA36,Butler Bay
AAGA37,Fredericksted Pier
AAGA38,Fredericksted Pier
AAGA39,Fredericksted Pier
AAGA40,Fredericksted Pier
AAGA41,Fredericksted Pier
AAGA42,Cane Bay
