Sample,Site,Depth
SSID24,Deep end,2
SSID25,Carambola deep,30
SSID26,Carambola deep,30
SSID27,Carambola deep,30
SSID28,Carambola deep,30
SSID29,Carambola deep,30
SSID30,Carambola deep,30
SSID31,The Palms,5.5
SSID32,The Palms,7
SSID33,The Palms,7
SSID34,The Palms,7
SSID35,The Palms,9
SSID36,The Palms,9
SSID37,Cane Bay,24
SSID38,Cane Bay,24
SSID39,Cane Bay,20
SSID40,Cane Bay,15
SSID41,Cane Bay,15
SSID42,Cane Bay,15
SSID43,Butler Bay,7
SSID44,Butler Bay,7
SSID45,Butler Bay,7
SSID46,Butler Bay,7
SSID47,Butler Bay,7
SSID48,Butler Bay,7
SSID49,Fredericksted Pier,3
SSID50,Fredericksted Pier,3
SSID51,Fredericksted Pier,3
SSID52,Fredericksted Pier,3
SSID53,Fredericksted Pier,3
MCAV1,Cane Bay,21
MCAV2,Cane Bay,21
MCAV3,Cane Bay,21
MCAV4,Cane Bay,21
MCAV5,Cane Bay,21
MCAV6,Cane Bay,21
MCAV7,Deep end,2
MCAV8,Deep end,2
MCAV9,Deep end,2
MCAV10,Deep end,2
MCAV11,Deep end,2
MCAV12,Deep end,2
MCAV13,Deep end,2
MCAV14,Deep end,2
MCAV15,Carambola shallow,10
MCAV16,Carambola shallow,10
MCAV17,Carambola shallow,10
MCAV18,Carambola shallow,10
MCAV19,Carambola deep,30
MCAV20,Carambola deep,30
MCAV21,Carambola deep,30
MCAV22,Carambola deep,30
MCAV23,The Palms,5
MCAV24,The Palms,7.5
MCAV25,The Palms,9
MCAV26,Cane Bay,20
MCAV27,Cane Bay,18
MCAV28,Cane Bay,17
MCAV29,Cane Bay,15
MCAV30,Cane Bay deep,30
MCAV31,Cane Bay deep,30
MCAV32,Cane Bay deep,30
MCAV33,Cane Bay,21
MCAV34,Cane Bay,21
MCAV35,Cane Bay,21
MCAV36,Cane Bay,21
MCAV37,Butler Bay,5.8
MCAV38,Butler Bay,7.3
MCAV39,Butler Bay,7.9
MCAV40,Butler Bay,7.6
MCAV41,Butler Bay,8
MCAV42,Butler Bay,7
MCAV43,Butler Bay,7
MCAV44,Butler Bay,7
MCAV45,Butler Bay,7
MCAV46,Butler Bay,7
MCAV47,Butler Bay,7
MCAV48,Butler Bay,7
MCAV49,Butler Bay,7
MCAV50,Butler Bay,7
MCAV51,Butler Bay,7
MCAV52,Butler Bay,7
MCAV53,Fredericksted Pier,3
MCAV54,Fredericksted Pier,3
OFAV1,Cane Bay,21
OFAV2,Cane Bay,21
OFAV3,Cane Bay,21
OFAV4,Cane Bay,21
OFAV5,Cane Bay,21
OFAV6,Cane Bay,21
OFAV7,Deep end,2
OFAV8,Deep end,2
OFAV9,Deep end,2
OFAV10,Deep end,2
OFAV11,Isaac Bay,2
OFAV12,Isaac Bay,2
OFAV13,Isaac Bay,2
OFAV14,Isaac Bay,2
OFAV15,Isaac Bay,2
OFAV16,Isaac Bay,2
OFAV17,Deep end,2
OFAV18,Deep end,2
OFAV19,Deep end,2
OFAV20,Deep end,2
OFAV21,Deep end,2
OFAV22,Deep end,2
OFAV23,Deep end,2
OFAV24,Carambola shallow,10
OFAV25,Carambola shallow,10
OFAV26,Carambola shallow,10
OFAV27,Carambola shallow,10
OFAV28,Carambola shallow,10
OFAV29,Carambola shallow,10
OFAV30,Carambola shallow,10
OFAV31,Carambola shallow,10
OFAV32,Carambola shallow,10
OFAV33,Carambola shallow,10
